
################################
#Benchmark pattern info:
################################
./posixGlibcIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
0.000006, 3
9.31352126397e-07, 9.3335675861e-07
0.000006, 3
7.71382497716e-07, 9.20527138647e-07
0.000008, 3
8.3553072401e-07, 1.0756856682e-06
0.000008, 3
9.59416970462e-07, 1.8097819493e-06
0.00001, 3
6.5872221561e-07, 8.72015105874e-07
0.00001, 3
9.53002214672e-07, 1.36314999154e-06
0.00003, 3
9.95500370001e-07, 1.50307325297e-06
0.00003, 3
8.78028906349e-07, 1.52352047677e-06
0.00006, 3
8.57581722141e-07, 9.72246692936e-07
0.00006, 3
8.21097416214e-07, 8.51968754616e-07
0.00008, 3
8.82038226989e-07, 9.59417035084e-07
0.00008, 3
1.14905520321e-06, 1.76968934647e-06
0.0001, 3
1.14143762905e-06, 1.68028279008e-06
0.0001, 3
8.49162208026e-07, 1.28296462025e-06
0.0003, 3
1.02917822958e-06, 1.53474649896e-06
0.0003, 3
1.01394297847e-06, 1.94449325646e-06
0.0006, 3
1.09493010975e-06, 1.68068363972e-06
0.0006, 3
8.36332572218e-07, 8.76826143548e-07
0.0008, 3
1.02516893783e-06, 1.47781490216e-06
0.0008, 3
9.55808652047e-07, 1.62776137891e-06
1, 3
8.14281604475e-07, 1.25930995552e-06
1, 3
7.20063941614e-07, 6.69146279818e-07
2, 3
6.58722093068e-07, 1.15266343127e-06
2, 3
9.09702108703e-07, 1.20037378292e-06
3, 3
9.56610536009e-07, 1.11978760565e-06
3, 3
7.04427775078e-07, 1.04962544972e-06
4, 3
7.09238898182e-07, 1.03398932641e-06
4, 3
7.01621297232e-07, 1.59167802858e-06
5, 3
9.47790145127e-07, 9.65430909249e-07
5, 3
6.66740702014e-07, 9.70642958254e-07
0.00000001, 4
1.07047361189e-06, 1.54316589219e-06
0.00000001, 4
7.93032451203e-07, 1.77770772934e-06
0.0000001, 4
6.89994459621e-07, 9.88283755355e-07
0.0000001, 4
1.14945613058e-06, 3.24469775542e-06
0.0000002, 4
9.37366056109e-07, 1.52071405082e-06
0.0000002, 4
1.21320337865e-06, 2.01104697532e-06
0.0000004, 4
1.0275745295e-06, 1.79093851864e-06
0.0000004, 4
1.15506919025e-06, 1.85268126628e-06
0.0000006, 4
6.43486973301e-07, 7.66571397478e-07
0.0000006, 4
