
################################
#Benchmark pattern info:
################################
./posixGlibcAIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
9.55407690742e-07, 7.0242311128e-06
0.000002, 3
1.07889298594e-06, 1.04673868736e-05
0.000002, 3
1.24527746563e-06, 9.5801368452e-06
0.000004, 3
9.77859508675e-07, 9.7761895283e-06
0.000004, 3
1.32305724978e-06, 1.11690087468e-05
0.000006, 3
1.51309641538e-06, 1.17724032975e-05
0.000006, 3
1.09452919077e-06, 1.04008337974e-05
0.000008, 3
9.85076207318e-07, 7.48008416765e-06
0.000008, 3
6.88791608679e-07, 7.21026093741e-06
0.00001, 3
1.05243181673e-06, 9.47028264497e-06
0.00001, 3
1.23605618271e-06, 1.73657273752e-05
0.00003, 3
8.72415977795e-07, 7.41593673771e-06
0.00003, 3
8.53973304467e-07, 7.07474785475e-06
0.00006, 3
9.36564128096e-07, 7.60316871799e-06
0.00006, 3
8.85245575903e-07, 4.88809513651e-06
0.00008, 3
5.44057175112e-07, 4.04574867653e-06
0.00008, 3
1.17110601659e-06, 9.88283577844e-06
0.0001, 3
1.09573188048e-06, 1.05042719607e-05
0.0001, 3
1.15426719105e-06, 9.74491779985e-06
0.0003, 3
9.70642857073e-07, 8.38256953973e-06
0.0003, 3
7.80202865005e-07, 6.08445975299e-06
0.0006, 3
1.29619512118e-06, 8.61991806536e-06
0.0006, 3
1.15426709942e-06, 9.3071053998e-06
0.0008, 3
1.1085615634e-06, 9.70241946993e-06
0.0008, 3
9.72246563133e-07, 1.10234718571e-05
1, 3
9.71043829819e-07, 9.27262662926e-06
1, 3
8.47157558824e-07, 8.60588594423e-06
2, 3
7.46925969042e-07, 7.67774144238e-06
2, 3
8.86849311168e-07, 8.10352544183e-06
3, 3
6.7796663119e-07, 5.96578561331e-06
3, 3
9.44983652348e-07, 1.06506112536e-05
4, 3
7.76594536016e-07, 1.12776601464e-05
4, 3
1.17110617435e-06, 1.13406056993e-05
5, 3
7.98244558621e-07, 7.30688452078e-06
5, 3
1.07568567553e-06, 1.0589670424e-05
0.00000001, 4
7.86216759497e-07, 4.92297582349e-06
0.00000001, 4
8.73618607266e-07, 1.24339301823e-05
0.0000001, 4
1.03880034849e-06, 1.05499777576e-05
0.0000001, 4
1.43692021798e-06, 2.11204018311e-05
0.0000002, 4
9.57412276079e-07, 7.71783346504e-06
0.0000002, 4
1.44814620537e-06, 1.20879313654e-05
0.0000004, 4
9.59416893146e-07, 1.13089311763e-05
0.0000004, 4
9.86279015436e-07, 7.37865000003e-06
0.0000006, 4
1.05243183783e-06, 9.11426017881e-06
0.0000006, 4
7.4532225011e-07, 6.58000471695e-06
0.0000008, 4
7.36501875539e-07, 4.87686925098e-06
0.0000008, 4
1.30220909321e-06, 1.23341011525e-05
0.000001, 4
1.06806794144e-06, 9.20366654045e-06
0.000001, 4
7.75391715937e-07, 6.30536996719e-06
0.000002, 4
7.34096345725e-07, 3.49888520434e-06
0.000002, 4
9.39771544015e-07, 9.43860993567e-06
0.000004, 4
1.07809115688e-06, 6.16223915256e-06
0.000004, 4
8.77227015131e-07, 8.71694230483e-06
0.000006, 4
6.3266186241e-07, 5.872769937e-06
0.000006, 4
8.85245491078e-07, 8.47959335883e-06
0.000008, 4
1.06886983196e-06, 1.10122459394e-05
0.000008, 4
1.03839940833e-06, 9.81948969452e-06
0.00001, 4
8.92061250248e-07, 8.00730215279e-06
0.00001, 4
8.76024253069e-07, 9.44983599306e-06
0.00003, 4
8.92462212076e-07, 6.90996685765e-06
0.00003, 4
1.08931706315e-06, 1.34651135686e-05
0.00006, 4
1.10896246226e-06, 8.55977894768e-06
0.00006, 4
1.00031140917e-06, 7.27761631233e-06
0.00008, 4
9.47389089906e-07, 7.8413185867e-06
0.00008, 4
1.43371278493e-06, 1.56160830462e-05
0.0001, 4
9.59416889684e-07, 1.2188162744e-05
